wreck_id,obstruction_type,lat,lon,water_depth,original_date
85167,foul area,33.51225,35.32833,18,2016
85171,foul area,33.51207,35.33447,15,2016
85173,foul area,33.51243,35.33843,15,2016
85179,foul area,33.50848,35.33827,9,2016
85181,foul area,33.50708,35.33867,6,2016
85177,foul area,33.50965,35.33688,13,2016
85169,foul area,33.51393,35.33155,18,2016
85183,foul area,33.50995,35.34293,7,2016
85184,foul area,33.5102,35.34982,2,2016
83207,foul area,50.33465,-4.14907,9,20150501
83299,foul area,41.1428,16.86425,10,"2015
"
30597,foul ground,54.685,10.615,20,1990
81874,,13.00373,42.74425,2,2014
79117,,50.61532,-2.34448,19,2012
82561,foul area,-0.66368,8.76877,27,2015
82713,,-0.59247,8.80253,55,2015
82699,,-0.66625,8.81792,27,2015
82655,,-0.6625,8.76582,27,2015
82717,,-0.65633,8.80695,27,2015
60095,,49.35182,-0.60423,1,1944
35278,foul ground,36.14933,-5.41992,42,1993
72642,foul ground,48.62443,-2.47772,0,2008
35283,foul ground,36.13678,-5.36853,40,1992
60109,foul ground,49.35218,-0.63275,4,1997
35277,foul ground,36.14112,-5.40938,70,1994
26240,,47.71293,-3.36323,12,1947
60094,foul ground,49.35517,-0.62957,8,1997
26987,,45.06505,-0.62693,1,1952
27087,foul ground,44.66857,-1.16018,15,1991
34949,foul ground,36.12577,-5.43022,2,1986
59264,foul ground,36.13095,-5.37565,62,1989
57222,foul ground,13.00547,42.74688,1,1998
65048,foul ground,52.15717,4.23567,14,2004
55528,,69.04728,33.03978,4,1996
81450,,69.03345,33.02602,0,2014
57524,foul ground,53.99505,7.17205,27,1999
66384,foul ground,55.04687,9.46698,2,2004
65782,,68.06353,39.51065,10,2005
55157,foul ground,67.31193,14.4,60,1975
55194,,68.23267,14.54352,20,1957
30596,foul ground,54.7625,10.5125,20,1992
23746,,49.65267,-1.58475,0,1987
23722,,49.65287,-1.5849,0,1987
92009,,10.71103,122.59427,1,2019
92008,,10.71082,122.59418,1,2019
56826,foul ground,-51.69107,-57.85938,2,1853
56953,foul ground,-51.69107,-57.85938,2,1856
56684,foul ground,-54.15042,-36.67128,85,1997
56679,foul ground,-54.14407,-36.67703,53,1995
51595,,-38.93135,-62.07362,8,1978
30898,foul ground,54.59583,13.85,22,1977
89797,,17.97395,-76.82108,1,2018
25741,,48.28533,-4.41552,5,1995
81790,foul ground,37.12143,26.8419,32,2014
81812,foul ground,37.11368,26.83588,40,2014
81806,foul ground,37.11367,26.8298,57,2014
81792,foul ground,37.11895,26.83748,39,2014
25740,,48.28665,-4.41567,3,1995
81791,foul ground,37.11878,26.8357,41,2014
25739,,48.28812,-4.41653,4,1995
81808,,37.1126,26.83428,42,2014
65375,,37.12507,26.84983,32,2009
73759,,37.12423,26.84965,29,2009
89602,,6.8255,-58.19478,-1,20180716
52783,,12.90115,-61.1791,1,1971
35900,,43.08338,5.92708,15,1969
36516,,43.2699,5.30517,30,1994
59068,,43.07283,5.95447,35,2000
90309,,43.07543,5.99398,57,2018
77801,,43.08527,5.91308,12,2010
36353,,43.10088,5.91543,22,1988
86777,,43.0821,5.92785,4,2016
59066,,43.08358,5.92852,5,1969
68354,,43.11358,5.90087,10,2006
36304,,43.10808,5.89725,10,1988
71528,foul area,43.11387,5.91148,11,2008
67223,,43.11533,5.91282,8,2005
35933,,43.11528,5.92607,10,1975
80329,,43.11748,5.91272,7,2013
36362,,43.09437,5.92425,9,1988
36355,,43.10053,5.92117,12,1988
36650,,43.10425,5.90532,11,1998
67692,,37.59655,-0.97773,12,2006
86800,,37.58547,-0.98447,13,2017
88597,,35.49037,24.06997,2,2017
88598,,35.49,24.06938,2,2017
86344,,34.46993,35.83867,9,2016
38954,foul ground,35.45457,24.20328,7,1949
38969,,35.48968,24.11028,105,1963
38953,foul ground,35.45722,24.20473,16,1953
38949,,35.47303,24.13495,80,1963
89542,,69.0256,33.06133,16,2018
82478,,69.05102,33.07835,12,2015
82477,,69.05048,33.07745,15,2015
89541,,69.02517,33.05867,14,2018
20560,,50.78985,0.33637,0,1940
38941,foul ground,35.49747,24.07495,8,1948
