wreck_id,obstruction_type,lat,lon,water_depth,original_date
2972,,56.25268,-2.54875,30,1927
84932,,58.6442,12.84237,10,2016
84408,,35.50117,12.58417,8,2016
78038,,50.80923,-0.1305,6,2011
84887,foul ground,51.44632,0.3613,9,2013
31532,,55.89933,6.26533,44,1990
84870,,50.46567,-3.171,42,2016
84935,,25.38988,55.32485,18,2016
20641,,50.70107,0.02115,24,1980
15241,foul ground,51.04833,2.13422,20,1977
84933,,58.64022,12.85138,10,2016
20517,,50.7423,0.01147,20,1918
20137,,50.77462,-0.06235,12,1942
20510,,50.73693,0.01812,20,1918
83986,,50.79375,-0.11745,10,20160205
20422,,50.65923,0.03292,32,1976
20176,,50.6943,-0.03863,27,1916
20500,,50.72668,0.01032,20,1917
20184,,50.73298,-0.01328,21,1980
20532,,50.75627,0.00548,17,1975
84968,foul ground,53.46112,0.90435,18,2016
84969,foul ground,53.46123,0.91188,18,2016
84956,,50.81563,-0.13615,3,2015
84957,,50.82108,-0.28473,2,2015
84964,foul ground,53.4128,0.96455,21,2016
84966,foul ground,53.41307,0.97232,18,2016
84967,foul ground,53.41267,0.95705,21,2016
84962,,1.36193,172.93635,0,2015
84971,foul ground,53.5014,0.70668,19,2016
84972,foul ground,53.50165,0.72297,18,2016
84973,foul ground,53.46088,0.90435,18,2016
84970,foul ground,53.45965,0.89663,18,2016
84974,foul ground,53.4172,0.96598,15,2016
81551,,49.14817,-2.15775,11,2014
23162,,49.15067,-2.19245,6,1935
83394,,22.37233,89.6275,6,2015
85086,,33.27587,35.19983,7,2016
84999,,-54.80367,-68.26333,20,2016
85087,,33.28058,35.20533,10,2016
84984,,-25.59333,45.41,5,2016
75622,,37.03,8.80833,54,2010
85002,foul ground,-60.75183,-44.709,12,2016
85041,,25.50693,55.37558,21,2016
85091,,33.57837,35.3748,11,2016
85130,,49.55733,-0.12983,20,"2016
"
85125,,50.61072,-2.34025,19,2016
6621,foul ground,54.1294,0.1549,45,1984
85088,,33.27658,35.20112,7,2016
85089,,33.27682,35.19747,7,2016
85103,,34.5126,35.81512,90,2016
85122,,34.45687,35.8166,5,2016
5836,,54.15022,-0.08507,30,1918
6500,,54.13912,0.18157,48,1918
5912,,54.31687,-0.38505,18,1917
5859,,54.20022,-0.13507,34,1917
5845,,54.16967,-0.11285,30,1917
6509,,54.20355,0.10768,52,1967
5899,foul ground,54.27992,-0.3906,1,1917
5839,,54.15855,-0.04342,44,1918
6497,,54.13355,0.02325,48,1926
5860,,54.20022,-0.18507,23,1917
5908,,54.30853,-0.12675,50,1917
5861,,54.20438,-0.1684,35,1954
5852,,54.18355,-0.11007,36,1918
5900,,54.28188,-0.1984,48,1940
5896,,54.27937,-0.30172,18,1917
5868,,54.21688,-0.2184,26,1917
85152,,12.5132,43.7823,40,2016
85153,,12.3731,43.8008,200,2016
85092,,33.57838,35.37155,12,2016
58396,,33.572,35.372,5,2000
85144,,51.48223,-2.6672,-3,2016
85159,,33.53293,35.3178,35,2016
85151,,12.5189,43.7022,50,2016
42798,,12.4,43.79,400,1992
42086,,-3.0671,10.36305,12,1963
65916,foul ground,-3.28068,10.23578,46,2005
65929,foul ground,-3.77253,10.3273,80,2005
78575,,-3.51667,10.18333,80,2011
65921,foul ground,-3.5157,10.46238,40,2005
65933,foul ground,-3.84862,10.89792,27,2005
65943,foul ground,-4.03178,10.55317,90,2005
65930,foul ground,-3.79347,10.32288,80,2005
65939,foul ground,-3.9659,10.53687,90,2005
65935,foul ground,-3.93992,10.36707,95,2005
65934,foul ground,-3.90442,10.62777,83,2005
65936,foul ground,-3.94498,10.88655,40,2005
65937,foul ground,-3.9602,10.90802,37,2005
65927,foul ground,-3.75225,10.47602,65,2005
65926,foul ground,-3.7383,10.43523,65,2005
65923,foul ground,-3.67298,10.67132,40,2005
65924,foul ground,-3.69772,10.88213,17,2005
65925,foul ground,-3.71673,10.44408,65,2005
65922,foul ground,-3.63367,10.67762,38,2005
65931,foul ground,-3.8036,10.76032,44,2005
65946,foul ground,-4.08928,10.6072,90,2005
65941,foul ground,-4.02243,10.96337,35,2005
65940,foul ground,-4.00347,11.09278,14,2005
65949,foul ground,-4.35515,10.82673,106,2005
65942,foul ground,-4.02455,11.09228,16,2005
65950,foul ground,-4.35903,10.85908,106,2005
65945,foul ground,-4.08145,10.56993,95,2005
42087,,-4.34167,11.51667,11,1972
65944,foul ground,-4.08007,11.03482,33,2005
16257,,50.047,-5.05013,15,1809
16256,,50.04378,-5.05043,8,1915
85216,,25.86535,-79.33342,510,2016
84318,,25.90495,-79.93743,250,2016
65947,foul ground,-4.09432,11.27947,10,2005
42089,,-4.64952,11.14922,110,1975
85241,,53.73323,14.27038,2,2016
42088,,-4.53333,10.71667,1000,1979
85289,foul ground,-38.65333,-58.48,44,2016
84858,foul ground,-38.8,-58.85,46,2016
85288,foul ground,-38.64667,-58.18833,44,2016
85243,,24.77825,67.1664,5,2016
29805,,54.44933,4.132,45,1917
85290,foul ground,-38.62167,-58.52833,38,2016
85292,foul ground,-38.65,-58.58333,30,2016
85242,,24.77873,67.16577,5,2016
85279,,54.0999,-10.65167,152,20160531
84797,,10.6478,107.01403,6,2016
84864,,17.88397,-62.79742,30,2016
85295,,38.67838,-9.20492,10,2016
85297,foul ground,-51.59102,-68.03123,80,2011
84872,,-25.64333,45.48,30,2016
85299,foul ground,-52.883,-68.1459,8,2011
85301,foul ground,-52.77068,-68.40105,16,2011
85298,foul ground,-53.27937,-68.23477,8,2011
85300,foul ground,-53.28922,-68.28407,8,2011
85296,,-53.74498,-67.67443,8,2011
83222,,50.36055,-4.13542,5,20150422
6327,,54.35267,-0.37485,38,1986
71945,,50.61228,-2.39958,16,2008
78972,foul ground,50.10833,-5.045,20,2012
85314,foul ground,51.47315,0.24468,5,2016
84825,,56.81267,-7.62285,10,2016
85315,,48.99903,-6.55147,127,2016
18758,,50.61223,-2.44853,1,1990
85311,,39.05917,26.85667,28,2016
25124,,48.4725,-6.61245,146,1969
85282,,19.78142,105.95328,5,2016
85371,diffuser,52.87937,-4.39933,6,2007
21281,,50.0708,1.3228,12,1989
85321,,54.31978,-0.29873,46,"20160220
"
85323,,54.22463,-0.20855,36,20160221
17342,,50.0006,-5.13437,20,1994
6453,,54.30415,-0.10532,52,1997
16308,,50.10532,-5.08827,0,1948
85333,,54.29937,-0.21538,48,"20160222
"
85347,,54.16333,-0.08412,40,"20160218
"
85348,,54.27855,0.12438,50,"20160217
"
5905,,54.28273,-0.31128,29,1917
85286,foul ground,-33.46667,-60.00167,15,2016
60341,,45.93972,-1.48445,18,1976
26884,,45.91567,-1.418,16,1974
6411,,54.29275,-0.2293,47,1992
85349,,54.19802,-0.09403,43,"20160222
"
85342,,54.23623,-0.26062,24,"20160221
"
85324,,54.14297,-0.06395,31,2016018
5898,foul ground,54.2796,-0.39058,2,1917
85412,foul ground,52.29975,2.4784,37,20160526
85417,,10.24643,-64.59987,2,2015
85419,,10.24627,-64.59793,2,2015
52740,,10.24355,-64.58848,2,1990
26924,,45.84842,-1.17907,2,1961
85410,foul ground,52.26495,2.52897,37,20160522
85411,foul ground,52.27775,2.5221,37,20160521
85413,foul ground,52.29968,2.54192,36,20160518
85405,,40.91433,9.89333,110,2016
85428,,54.64537,19.91525,0,2015
85430,,54.64595,19.91473,3,2015
85431,foul ground,54.62977,19.89253,3,2015
52739,,10.24305,-64.58805,1,1990
85429,,54.63583,19.90525,2,2015
85432,,54.6411,19.88235,10,2015
85420,,10.2455,-64.58838,2,2015
85421,,10.24595,-64.5882,2,2015
